county,precinct,office,district,candidate,party,votes,absentee,election_day
Butler County,2322 JEANNETTE - 2-2,Straight Party,,Democratic,DEM,98,6,92
Butler County,2322 JEANNETTE - 2-2,Straight Party,,Republican,REP,56,0,56
Butler County,2322 JEANNETTE - 2-2,Straight Party,,Green Party,GRN,0,0,0
Butler County,2322 JEANNETTE - 2-2,Straight Party,,Libertarian,LN,0,0,0
Butler County,2322 JEANNETTE - 2-2,U.S. Senate,,Bob Casey Jr,DEM,168,7,161
Butler County,2322 JEANNETTE - 2-2,U.S. Senate,,Lou Barletta,REP,118,3,115
Butler County,2322 JEANNETTE - 2-2,U.S. Senate,,Neal Gale,GRN,1,0,1
Butler County,2322 JEANNETTE - 2-2,U.S. Senate,,Dale R Kerns Jr,LN,4,0,4
Butler County,2322 JEANNETTE - 2-2,Governor,,Tom Wolf,DEM,171,8,163
Butler County,2322 JEANNETTE - 2-2,Governor,,Scott R Wagner,REP,113,2,111
Butler County,2322 JEANNETTE - 2-2,Governor,,Paul Glover,GRN,1,0,1
Butler County,2322 JEANNETTE - 2-2,Governor,,Ken V Krawchuk,LN,7,0,7
Butler County,2322 JEANNETTE - 2-2,U.S. House,14.0,Bibiana Boerio,DEM,164,9,155
Butler County,2322 JEANNETTE - 2-2,U.S. House,14.0,Guy Reschenthaler,REP,125,1,124
Butler County,2322 JEANNETTE - 2-2,State House,58.0,Mary Popovich,DEM,149,6,143
Butler County,2322 JEANNETTE - 2-2,State House,58.0,Justin Walsh,REP,143,4,139
Butler County,2330 JEANNETTE - 3,Straight Party,,Democratic,DEM,110,1,109
Butler County,2330 JEANNETTE - 3,Straight Party,,Republican,REP,178,4,174
Butler County,2330 JEANNETTE - 3,Straight Party,,Green Party,GRN,0,0,0
Butler County,2330 JEANNETTE - 3,Straight Party,,Libertarian,LN,1,0,1
Butler County,2330 JEANNETTE - 3,U.S. Senate,,Bob Casey Jr,DEM,206,5,201
Butler County,2330 JEANNETTE - 3,U.S. Senate,,Lou Barletta,REP,276,5,271
Butler County,2330 JEANNETTE - 3,U.S. Senate,,Neal Gale,GRN,4,0,4
Butler County,2330 JEANNETTE - 3,U.S. Senate,,Dale R Kerns Jr,LN,8,0,8
Butler County,2330 JEANNETTE - 3,Governor,,Tom Wolf,DEM,223,4,219
Butler County,2330 JEANNETTE - 3,Governor,,Scott R Wagner,REP,272,7,265
Butler County,2330 JEANNETTE - 3,Governor,,Paul Glover,GRN,1,0,1
Butler County,2330 JEANNETTE - 3,Governor,,Ken V Krawchuk,LN,2,0,2
Butler County,2330 JEANNETTE - 3,U.S. House,14.0,Bibiana Boerio,DEM,205,4,201
Butler County,2330 JEANNETTE - 3,U.S. House,14.0,Guy Reschenthaler,REP,289,6,283
Butler County,2330 JEANNETTE - 3,State House,58.0,Mary Popovich,DEM,188,4,184
Butler County,2330 JEANNETTE - 3,State House,58.0,Justin Walsh,REP,310,7,303
Butler County,2340 JEANNETTE - 4,Straight Party,,Democratic,DEM,51,0,51
