,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
2,,2018,DAUPHIN,GRN,"GLOVER, PAUL ",706,0,0,0.65,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",DAUPHIN,14,0,Governor
3,,2018,DAUPHIN,LIB,"KRAWCHUK, KENNETH V ",1362,0,0,1.25,0.00,0.00,"SMITH, KATHLEEN S",DAUPHIN,17,0,Governor
0,2,2018,DELAWARE,DEM,"WOLF, THOMAS W ",167211,0,0,66.71,0.00,0.00,"FETTERMAN, JOHN K",DELAWARE,1,0,Governor
1,4,2018,DELAWARE,REP,"WAGNER, SCOTT R ",80576,0,0,32.15,0.00,0.00,"BARTOS, JEFFREY A",DELAWARE,5,0,Governor
2,,2018,DELAWARE,GRN,"GLOVER, PAUL ",1076,0,0,0.43,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",DELAWARE,14,0,Governor
3,,2018,DELAWARE,LIB,"KRAWCHUK, KENNETH V ",1780,0,0,0.71,0.00,0.00,"SMITH, KATHLEEN S",DELAWARE,17,0,Governor
0,2,2018,ELK,DEM,"WOLF, THOMAS W ",4206,0,0,37.22,0.00,0.00,"FETTERMAN, JOHN K",ELK,1,0,Governor
1,4,2018,ELK,REP,"WAGNER, SCOTT R ",6918,0,0,61.22,0.00,0.00,"BARTOS, JEFFREY A",ELK,5,0,Governor
2,,2018,ELK,GRN,"GLOVER, PAUL ",76,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",ELK,14,0,Governor
3,,2018,ELK,LIB,"KRAWCHUK, KENNETH V ",101,0,0,0.89,0.00,0.00,"SMITH, KATHLEEN S",ELK,17,0,Governor
0,2,2018,ERIE,DEM,"WOLF, THOMAS W ",60790,0,0,59.77,0.00,0.00,"FETTERMAN, JOHN K",ERIE,1,0,Governor
1,4,2018,ERIE,REP,"WAGNER, SCOTT R ",39387,0,0,38.72,0.00,0.00,"BARTOS, JEFFREY A",ERIE,5,0,Governor
2,,2018,ERIE,GRN,"GLOVER, PAUL ",605,0,0,0.59,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",ERIE,14,0,Governor
3,,2018,ERIE,LIB,"KRAWCHUK, KENNETH V ",929,0,0,0.91,0.00,0.00,"SMITH, KATHLEEN S",ERIE,17,0,Governor
0,2,2018,FAYETTE,DEM,"WOLF, THOMAS W ",19791,0,0,48.38,0.00,0.00,"FETTERMAN, JOHN K",FAYETTE,1,0,Governor
1,4,2018,FAYETTE,REP,"WAGNER, SCOTT R ",20471,0,0,50.04,0.00,0.00,"BARTOS, JEFFREY A",FAYETTE,5,0,Governor
2,,2018,FAYETTE,GRN,"GLOVER, PAUL ",263,0,0,0.64,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",FAYETTE,14,0,Governor
3,,2018,FAYETTE,LIB,"KRAWCHUK, KENNETH V ",384,0,0,0.94,0.00,0.00,"SMITH, KATHLEEN S",FAYETTE,17,0,Governor
0,2,2018,FOREST,DEM,"WOLF, THOMAS W ",746,0,0,38.49,0.00,0.00,"FETTERMAN, JOHN K",FOREST,1,0,Governor
1,4,2018,FOREST,REP,"WAGNER, SCOTT R ",1159,0,0,59.80,0.00,0.00,"BARTOS, JEFFREY A",FOREST,5,0,Governor
